计算机 系统	物流 园区	0
阿峰	甘肃 分公司	0
办公楼	法医 司法	0
清华 大学	河势 稳定	0
小 白 干路	地点	1
商城	中国 地名	1
竣工 结算	建筑	0
东大街	交通 事故 责任书	0
早餐 店	十八	0
朱 某	法律 效应	0
密级	此次 事件	0
南岳区	偷盗	0
鉴定 专家	大型 货运 汽车	0
银行 专户	勘查	0
李 大娘	人物	1
城市 区域	城镇	0
中环线	地点	1
乡长	关系 主体	0
公共 事业	商业 保险 责任	0
季	行政 措施	0
国有 企业	主责 或 全责	0
华通	驾驶员 和 前排	0
内蒙古 自治区 公安厅	车位 车库	0
奥拓	普通 国道	0
亭	地点	1
公房	某 交通费	0
乌	发生地	0
全世界	煤气	0
草原 植被	所 属 气象台	0
辛国斌	官员	1
定线	隋	0
泾阳县	管辖权	0
有限 责任 公司	执照	0
硬化	涨	0
公共 图书馆	不足时	0
缔约 承运人	城乡 规划 法律	0
相关 产业	好转	0
公共 卫生 管理	大学	0
企业 负责人	人物	1
便桥	平安	0
牧羊犬	重疾	0
气温	人民 政府 城乡	0
人民 法庭	民警	0
李成亮	永久性	0
杨传堂	官员	1
故障	毗连	0
行政 复议 机构	科研 机构	0
核设施	消防 人员	0
摄像头	电子 产品	1
建筑 安装 工程	名称 和 地址	0
李凯强	浙江省	0
作物	市 市政局	0
人体 器官	干流	0
自治旗	消防 经费	0
青岛市 人民 政府	交通 事故 死者	0
鱼类	课题	0
广场 舞	本期 成本	0
小朋友	朋友	0
处理 方案	方案	1
主干	驾长	0
东站	炉灶	0
国法	公路 中心线	0
禽	死者 直系亲属	0
周边 地区	祁某	0
出院	机构 和 人员	0
渎职罪	法律 法规	1
巴基斯坦	拖拉机 及其 挂车	0
发电机	高压电	0
民营 企业	这个 案子	0
相关 法律	某甲	0
宁夏 回族 自治区 人民 政府	城镇 居民 标准	0
中小学 教师	人物	1
陶家镇	李某杰	0
长江 航务 管理局	差价	0
段 铁力	受害人 经济	0
技术 设备	证件 工本费	0
天津 科技 大学	得不偿失	0
海域 使用权 证书	沿道 路	0
道口	地点	1
仁	商业 三 者 险 范围	0
抽象 损失	临时 通道	0
故意 杀人罪	代表 和 人民 群众	0
西安市 人民 政府	患者 人身	0
澳门 科学馆	地点	1
房地产 开发 公司	稳	0
石子	张家港	0
北京市 气象局	浙江	0
河西	历史	0
工业 中毒	疾病	1
汽车	汽车	0
政党	能源 效率	0
别克君越	均摊	0
石家庄	城镇	1
假药	我国 道路	0
人体 器官	丧葬 补助 金和	0
六	信息化	0
清洁工	气象 指数	0
下属 单位	王 某 亲属	0
职业 技术 学校	教育 机构	1
中共 中央 政治局 委员	货运 车辆 技术 档案	0
农村 公路	地点	1
吸毒	上述 法规	0
专利 公报	城乡 环境 卫生	0
公路 用地 范围	小徐	0
工程 资料	宋 某某	0
亳州市 公安局	政府 机构	1
抗震 性能 鉴定	四平	0
选	驾驶员 和 车辆	0
员工	法定 理由	0
宪法	我院	0
江苏	强 险 保额	0
黄埔区	卷宗 材料	0
服务 意识	公司	0
烈士	事故 卷宗	0
微型车	该 行为	0
家门口	网站	0
技工 学校	被告 主张 权利	0
济南市 人民 政府	政府 机构	1
健康 教育	民航 公安 机关	0
爱国 主义 教育 基地	份子	0
宁波市 中级 人民 法院	法院	1
急救箱	药品	0
生产商	发运	0
太阳能	国家 安全 技术 标准	0
法律 关系	农民 专业	0
总统	巴南区	0
南 渡江	张涛	0
架空层	立交	0
珠海 经济 特区	旅游者 合法 权益	0
声像 档案	科研 机构	0
福建省 统计局	法规 体系	0
河北省 人民 政府	二线	0
温 德河	危险品 运输车	0
汽车 驾驶员	驾驶员	1
刘友宾	此项 业务	0
车险 计算器	客运 法律 法规	0
杆塔	生命 周期	0
鼓楼区	电气 线路	0
海员 证	有效 身份 证件	1
购物袋	工业 产品	1
环城 公园	队长	0
备降 机场	支队 法制科	0
脑 外伤	告诫	0
好 朋友	欺凌	0
央视 记者	人物	1
全世界	数额 标准	0
华律网	桥 路段	0
长江 经济带	地点	1
主持人	搜寻	0
操作 方法	交管 业务	0
常务 副市长	人物	1
新区	改建	0
佛山市 公安局	政府 机构	1
安全区	强 险 制度	0
北	袁女士	0
遗存	文物 古迹	1
高晓松	演员	1
科技 人员	人员	1
保健院	航空器 与 地面 障碍物	0
评价 机制	城市 道路 设施	0
两 种 方法	方法	0
农民工	金融 领域	0
团 雾	社会 事件	0
社会 问题	花草	0
执照	早在	0
城市 基础 设施 配套费	地点	0
管辖区	提案	0
庙	其他 车辆	0
技术 服务	不同 法院	0
多山	其中 被告	0
坐支	道口 交通 安全	0
桓仁 满族 自治县	驻地	0
阳光 财产 保险 股份 有限 公司	母婴	0
武装 力量	力量	1
海生	行政 过错 责任	0
危险品 标志	工业 产品	0
中国 花卉 协会	组织 机构	1
经营 场所	下列 原因	0
房地产业	强 险 财产 损失	0
北京市 价格 认证 中心	工业 废物	0
新闻 出版	人物	0
汉族	乘员 安全	0
工作 模式	二者	0
仲裁庭	组织 机构	1
正式 职工	地区 人民 政府 民政 部门	0
洛阳 正骨 医院	国务院 和 省	0
坝址	吕 正阳	0
郑州市 公安局	阻隔	0
农村 公路 改造 工程	市容 景观	0
有限 合伙	本	0
安徽省 人民 代表 大会 常务 委员会	组织 机构	1
海员	职业 学校	1
安岳县	中国 地名	1
副厂件	市 公共 信用 信息 平台	0
地理 位置	客车 公司	0
三峡 库区	省级 人民 政府 外事 部门	0
司法	中保协 条款	0
配套 工程	下列 行为 之一	0
庙会	民俗	1
民主 集中制	法律 法规	1
北京 汽车 股份 有限 公司	待遇 项目	0
社区 民警	组织 机构	0
广东省 人民 政府	组织 机构	0
许强	人物	1
湖北省 人民 政府	国产 普通型	0
漂浮物	建筑	0
扬声器	建筑 结构	0
川南	行政 区划	1
校园 欺凌	腐蚀	0
目的港	大队 交通 事故 认定书	0
备用 电源	电器	1
副司长	大 货车	0
艾滋病	部门 印章	0
社会 体育 指导员	组织 机构	0
代收费	矿务局	0
易地 扶贫	民事 审判庭	0
涨幅	本 小区	0
行经	医生	0
实施 方案	方案	1
云平台	苏 某	0
计算机 程序	法 字	0
类别	药品	0
雨夹雪	一 级 客运站	0
服务 网站	吸引力	0
丁字 路口	人物	0
艾滋病	核桃	0
钦州	地效	0
可燃物	库场	0
元谋县	具体 制度	0
胡锦涛	学者	1
大 公司	道路 交通 规划	0
公安部 交通 管理局	科研 机构	0
特种 用水	公司	0
常住 居民	关键 作用	0
监事	公司	0
深圳市 人民 政府	交通 企事业 单位	0
电力 企业	船公 司	0
非处方药	药品	1
山场	交通 行政 机关	0
外阴	有限性	0
专题	水法	0
